Category_Name,Payments_Total
TRAVEL,26260431
SUPPLIES,334457574
REPAIR & MAINTENANCE SERVICES,62113648
PROPERTY & IMPROVEMENTS,1317580981
PROGRAM DISTRIBUTIONS,16517410659
PROFESSIONAL SERVICES,608311367
PROFESSIONAL DEVELOPMENT,10190328
OTHER EQUIPMENT,27061073
OFFICE EQUIPMENT,3720444
MOTORIZED EQUIPMENT,34073610
MISCELLANEOUS EXPENSES,178631217
HOUSEKEEP & JANITOR SERVICES,16062715
FUEL & UTILITIES,69015881
EQUIPMENT RENTAL & LEASES,30927615
DEBT SERVICE,445707323
COMPUTER EQUIPMENT, 53823453	
COMMUNICATION SERVICE & SUPPLIES, 38063606
BUILDING LEASE PAYMENTS,36642400
